The Watson Brothers (1-4pm) The School Disco Band (4.30-7.30pm),Drop in the Ocean,@dropintheoceaneb_,2023-03-25T00:00:00+00:00,,
Grace & Danger,The Emerald Bar,"",2023-03-25T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Kryton Rock,The Fishermen’s,@eastbournefishermens,2023-03-25T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Bedraggled,Garden Bar,@gardenbareastbourne,2023-03-25T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Ska-per,Jesters,@jesterseastbourne,2023-03-25T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Sound Syndicate,Langney Sports Club,"",2023-03-25T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Rewind 45,The Prince Albert,"",2023-03-25T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Rhiannon: The Ultimate Tribute to Fleetwood Mac,Royal Hippodrome,@royalhippodrome,2023-03-25T00:00:00+00:00,2023-05-12 19:30:00 +0100,
The Waves,"The Star, Old Town","",2023-03-25T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Terry & Becky + Guests,Under Ground Theatre,@undergroundtheatre.eb,2023-03-25T00:00:00+00:00,2023-05-12 10:00:00 +0100,
London Philharmonic Orchestra: Romantic Journeys,Congress Theatre,"",2023-03-26T00:00:00+00:00,2023-05-12 15:00:00 +0100,
Rockin Robbins,Drop in the Ocean,"",2023-03-26T00:00:00+00:00,2023-05-12 13:00:00 +0100,2023-05-12 16:00:00 +0100
Knocksville,Jesters,"",2023-03-26T00:00:00+00:00,2023-05-12 19:00:00 +0100,
ABBA Party,The Red Lion Stone Cross,@theredlionstonecross,2023-03-26T00:00:00+00:00,2023-05-12 18:00:00 +0100,
Ceo Na Mara,Alexandra Arms,@thealexandraarmseastbourne1,2023-03-17T00:00:00+00:00,,
"Red, Green & Blue",Belgian Cafe,@thebelgiancafeeastbourne,2023-03-17T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
The Classic Rock Show,Congress Theatre,@eastbourne_theatres,2023-03-17T00:00:00+00:00,,
The Zen Relics,Crown & Anchor,@crownanchoreastbourne,2023-03-17T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Lackadaisy,"The Crown, Old Town",@thecrowneastbourne,2023-03-17T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Rockin Robbins,The Emerald Bar,@the.emeraldbar,2023-03-17T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Hot Damn,Garden Bar,@gardenbareastbourne,2023-03-17T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Rewind 45,Jesters,@jesterseastbourne,2023-03-17T00:00:00+00:00,2023-05-12 21:30:00 +0100,
Sarah G & the Other 3,The Prince Albert,"",2023-03-17T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Zachary Dogwood,Printers Playhouse,@printers_playhouse,2023-03-17T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Stand-ins,Stage Door,@stagedoorpub,2023-03-17T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Stereo Kings,Temple Bar,@temple_eastbourne,2023-03-17T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Yuri Betancourt,Belgian Cafe,"",2023-03-18T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Chiquitita ABBA Tribute,Crown & Anchor,"",2023-03-18T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Taylor Moon (1-4pm) Rockin Robbins (4.30-7.30pm),Drop in the Ocean,@dropintheoceaneb_,2023-03-18T00:00:00+00:00,,
Grace and Danger,The Eagle,@theeagleeb,2023-03-18T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Watson Brothers,Jesters,"",2023-03-18T00:00:00+00:00,2023-05-12 21:30:00 +0100,
The Kavemen,Langney Sports Club,"",2023-03-18T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Stand-ins,The Prince Albert,"",2023-03-18T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Tom Robinson - PPH Piano Bar,Printers Playhouse,"",2023-03-18T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Other Band,Under Ground Theatre,@undergroundtheatre.eb,2023-03-18T00:00:00+00:00,2023-05-12 10:00:00 +0100,
The Watson Brothers,Dem Shish,@dem.shish,2023-03-19T00:00:00+00:00,2023-05-12 14:00:00 +0100,2023-05-12 17:00:00 +0100
Sammy,Drop in the Ocean,"",2023-03-19T00:00:00+00:00,2023-05-12 13:00:00 +0100,2023-05-12 16:00:00 +0100
A Night With Amy,Printers Playhouse,"",2023-03-19T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Rick Bonner’s Mother’s Day Show,"The Red Lion, Stone Cross",@theredlionstonecross,2023-03-19T00:00:00+00:00,2023-05-12 19:00:00 +0100,
Saudade Loose Endz + open mic,"The Star Inn, Old Town","",2023-03-19T00:00:00+00:00,2023-05-12 18:00:00 +0100,2023-05-12 21:00:00 +0100
Will Taylor,Belgian Cafe,@thebelgiancafeeastbourne,2023-03-10T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Owen Donovan,Crown & Anchor,@crownanchoreastbourne,2023-03-10T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Jim Baldock,Emerald Bar,"",2023-03-10T00:00:00+00:00,2023-05-12 20:30:00 +0100,
